Date(UTC),UnixTimeStamp,Value
7/30/15,1438214400,9205
7/31/15,1438300800,9361
8/1/15,1438387200,9476
8/2/15,1438473600,9563
8/3/15,1438560000,9639
8/4/15,1438646400,9696
8/5/15,1438732800,9749
8/6/15,1438819200,9790
8/7/15,1438905600,10314
8/8/15,1438992000,10730
8/9/15,1439078400,11004
8/10/15,1439164800,11679
8/11/15,1439251200,13576
8/12/15,1439337600,13913
8/13/15,1439424000,14459
8/14/15,1439510400,15024
8/15/15,1439596800,15407
8/17/15,1439769600,15693
8/16/15,1439683200,15984
8/18/15,1439856000,16268
8/19/15,1439942400,16553
8/20/15,1440028800,16773
8/21/15,1440115200,17070
8/22/15,1440201600,17313
8/23/15,1440288000,17662
8/24/15,1440374400,17839
8/25/15,1440460800,18089
8/26/15,1440547200,18298
8/27/15,1440633600,18508
8/28/15,1440720000,18687
8/29/15,1440806400,18815
8/30/15,1440892800,19017
8/31/15,1440979200,19168
9/1/15,1441065600,19349
9/2/15,1441152000,19500
9/3/15,1441238400,19646
9/4/15,1441324800,19791
9/5/15,1441411200,19955
9/6/15,1441497600,20081
9/7/15,1441584000,20308
9/8/15,1441670400,20433
9/9/15,1441756800,20609
9/10/15,1441843200,20711
9/11/15,1441929600,20897
9/12/15,1442016000,21043
9/13/15,1442102400,21252
9/14/15,1442188800,21409
9/15/15,1442275200,21581
9/16/15,1442361600,21719
9/17/15,1442448000,21826
9/18/15,1442534400,21999
9/19/15,1442620800,22106
9/20/15,1442707200,22230
9/21/15,1442793600,22363
9/22/15,1442880000,22496
9/23/15,1442966400,22648
9/24/15,1443052800,22783
9/25/15,1443139200,22902
9/26/15,1443225600,22964
9/27/15,1443312000,23045
9/28/15,1443398400,23160
9/29/15,1443484800,23283
9/30/15,1443571200,23385
10/1/15,1443657600,23482
10/2/15,1443744000,23563
10/3/15,1443830400,23689
10/4/15,1443916800,23777
10/5/15,1444003200,23909
10/6/15,1444089600,24005
10/7/15,1444176000,24102
10/8/15,1444262400,24168
10/9/15,1444348800,24243
10/10/15,1444435200,24303
10/11/15,1444521600,24359
10/12/15,1444608000,24473
10/13/15,1444694400,24675
10/14/15,1444780800,24906
10/15/15,1444867200,25142
10/16/15,1444953600,25248
10/17/15,1445040000,25356
10/18/15,1445126400,25489
10/19/15,1445212800,25729
10/20/15,1445299200,25828
10/22/15,1445472000,25982
10/21/15,1445385600,26244
10/23/15,1445558400,26449
10/24/15,1445644800,26892
10/25/15,1445731200,27220
10/26/15,1445817600,27534
10/27/15,1445904000,27744
10/28/15,1445990400,27918
10/29/15,1446076800,28188
10/30/15,1446163200,28770
10/31/15,1446249600,29166
11/1/15,1446336000,29676
11/2/15,1446422400,29973
11/3/15,1446508800,30326
11/4/15,1446595200,30608
11/5/15,1446681600,30815
11/6/15,1446768000,30968
11/7/15,1446854400,31514
11/8/15,1446940800,32153
11/9/15,1447027200,32455
11/10/15,1447113600,32634
11/11/15,1447200000,32804
11/12/15,1447286400,32918
11/13/15,1447372800,33055
11/14/15,1447459200,33157
11/15/15,1447545600,33264
11/16/15,1447632000,33376
11/17/15,1447718400,33512
11/18/15,1447804800,33629
11/19/15,1447891200,33765
11/20/15,1447977600,33883
11/21/15,1448064000,33999
11/22/15,1448150400,34447
11/23/15,1448236800,34594
11/24/15,1448323200,34812
11/25/15,1448409600,34913
11/26/15,1448496000,35071
11/27/15,1448582400,35136
11/28/15,1448668800,35204
11/29/15,1448755200,35288
11/30/15,1448841600,35402
12/1/15,1448928000,35508
12/3/15,1449100800,35610
12/2/15,1449014400,35709
12/4/15,1449187200,35879
12/5/15,1449273600,36022
12/6/15,1449360000,36291
12/7/15,1449446400,36437
12/8/15,1449532800,36557
12/9/15,1449619200,36673
12/10/15,1449705600,36820
12/11/15,1449792000,36951
12/12/15,1449878400,37373
12/13/15,1449964800,37569
12/14/15,1450051200,37729
12/15/15,1450137600,37850
12/16/15,1450224000,37990
12/17/15,1450310400,38358
12/18/15,1450396800,38634
12/19/15,1450483200,38756
12/20/15,1450569600,38902
12/21/15,1450656000,39082
12/22/15,1450742400,39208
12/23/15,1450828800,39317
12/24/15,1450915200,39422
12/25/15,1451001600,39537
12/26/15,1451088000,39678
12/27/15,1451174400,39822
12/28/15,1451260800,40010
12/29/15,1451347200,40182
12/30/15,1451433600,40333
12/31/15,1451520000,40566
1/1/16,1451606400,40701
1/2/16,1451692800,40850
1/3/16,1451779200,41000
1/4/16,1451865600,41198
1/5/16,1451952000,41381
1/6/16,1452038400,41647
1/7/16,1452124800,41869
1/8/16,1452211200,42078
1/9/16,1452297600,42411
1/10/16,1452384000,42678
1/11/16,1452470400,43005
1/12/16,1452556800,43351
1/13/16,1452643200,43579
1/14/16,1452729600,43804
1/15/16,1452816000,44209
1/16/16,1452902400,44494
1/17/16,1452988800,44771
1/18/16,1453075200,45167
1/19/16,1453161600,45486
1/20/16,1453248000,45937
1/21/16,1453334400,46362
1/22/16,1453420800,46783
1/23/16,1453507200,47374
1/24/16,1453593600,48105
1/25/16,1453680000,48925
1/26/16,1453766400,49844
1/27/16,1453852800,50637
1/28/16,1453939200,51643
1/29/16,1454025600,52611
1/30/16,1454112000,53598
1/31/16,1454198400,54494
2/1/16,1454284800,55186
2/2/16,1454371200,55768
2/3/16,1454457600,56445
2/4/16,1454544000,57050
2/5/16,1454630400,57863
2/6/16,1454716800,58402
2/7/16,1454803200,58925
2/8/16,1454889600,59593
2/9/16,1454976000,60346
2/10/16,1455062400,61635
2/11/16,1455148800,63947
2/13/16,1455321600,65365
2/12/16,1455235200,66901
2/14/16,1455408000,68010
2/15/16,1455494400,68996
2/16/16,1455580800,69956
2/17/16,1455667200,70919
