Date(UTC),UnixTimeStamp,Value
7/30/15,1438214400,644
7/31/15,1438300800,582
8/1/15,1438387200,575
8/2/15,1438473600,581
8/3/15,1438560000,587
8/4/15,1438646400,587
8/5/15,1438732800,579
8/6/15,1438819200,584
8/7/15,1438905600,633
8/8/15,1438992000,668
8/9/15,1439078400,618
8/10/15,1439164800,631
8/11/15,1439251200,692
8/12/15,1439337600,653
8/13/15,1439424000,666
8/14/15,1439510400,660
8/15/15,1439596800,638
8/17/15,1439769600,635
8/16/15,1439683200,641
8/18/15,1439856000,648
8/19/15,1439942400,653
8/20/15,1440028800,650
8/21/15,1440115200,668
8/22/15,1440201600,648
8/23/15,1440288000,681
8/24/15,1440374400,673
8/25/15,1440460800,680
8/26/15,1440547200,669
8/27/15,1440633600,708
8/28/15,1440720000,691
8/29/15,1440806400,682
8/30/15,1440892800,689
8/31/15,1440979200,731
9/1/15,1441065600,741
9/2/15,1441152000,766
9/3/15,1441238400,755
9/4/15,1441324800,762
9/5/15,1441411200,753
9/6/15,1441497600,733
9/7/15,1441584000,753
9/8/15,1441670400,759
9/9/15,1441756800,765
9/10/15,1441843200,730
9/11/15,1441929600,736
9/12/15,1442016000,761
9/13/15,1442102400,764
9/14/15,1442188800,771
9/15/15,1442275200,755
9/16/15,1442361600,739
9/17/15,1442448000,753
9/18/15,1442534400,785
9/19/15,1442620800,735
9/20/15,1442707200,766
9/21/15,1442793600,779
9/22/15,1442880000,807
9/23/15,1442966400,784
9/24/15,1443052800,782
9/25/15,1443139200,767
9/26/15,1443225600,765
9/27/15,1443312000,725
9/28/15,1443398400,755
9/29/15,1443484800,762
9/30/15,1443571200,742
10/1/15,1443657600,741
10/2/15,1443744000,773
10/3/15,1443830400,769
10/4/15,1443916800,776
10/5/15,1444003200,771
10/6/15,1444089600,781
10/7/15,1444176000,808
10/8/15,1444262400,789
10/9/15,1444348800,779
10/10/15,1444435200,778
10/11/15,1444521600,748
10/12/15,1444608000,787
10/13/15,1444694400,818
10/14/15,1444780800,791
10/15/15,1444867200,824
10/16/15,1444953600,827
10/17/15,1445040000,788
10/18/15,1445126400,812
10/19/15,1445212800,802
10/20/15,1445299200,770
10/22/15,1445472000,782
10/21/15,1445385600,774
10/23/15,1445558400,818
10/24/15,1445644800,771
10/25/15,1445731200,751
10/26/15,1445817600,765
10/27/15,1445904000,815
10/28/15,1445990400,808
10/29/15,1446076800,814
10/30/15,1446163200,781
10/31/15,1446249600,812
11/1/15,1446336000,783
11/2/15,1446422400,779
11/3/15,1446508800,844
11/4/15,1446595200,762
11/5/15,1446681600,813
11/6/15,1446768000,812
11/7/15,1446854400,1005
11/8/15,1446940800,1015
11/9/15,1447027200,786
11/10/15,1447113600,834
11/11/15,1447200000,1044
11/12/15,1447286400,874
11/13/15,1447372800,808
11/14/15,1447459200,938
11/15/15,1447545600,797
11/16/15,1447632000,782
11/17/15,1447718400,762
11/18/15,1447804800,774
11/19/15,1447891200,882
11/20/15,1447977600,814
11/21/15,1448064000,832
11/22/15,1448150400,816
11/23/15,1448236800,863
11/24/15,1448323200,828
11/25/15,1448409600,807
11/26/15,1448496000,784
11/27/15,1448582400,790
11/28/15,1448668800,774
11/29/15,1448755200,776
11/30/15,1448841600,864
12/1/15,1448928000,847
12/3/15,1449100800,778
12/2/15,1449014400,819
12/4/15,1449187200,804
12/5/15,1449273600,835
12/6/15,1449360000,877
12/7/15,1449446400,775
12/8/15,1449532800,771
12/9/15,1449619200,779
12/10/15,1449705600,820
12/11/15,1449792000,884
12/12/15,1449878400,916
12/13/15,1449964800,845
12/14/15,1450051200,1752
12/15/15,1450137600,1834
12/16/15,1450224000,1216
12/17/15,1450310400,1053
12/18/15,1450396800,1057
12/19/15,1450483200,1009
12/20/15,1450569600,1103
12/21/15,1450656000,1172
12/22/15,1450742400,2045
12/23/15,1450828800,1544
12/24/15,1450915200,1292
12/25/15,1451001600,1042
12/26/15,1451088000,1074
12/27/15,1451174400,1575
12/28/15,1451260800,1239
12/29/15,1451347200,1200
12/30/15,1451433600,1564
12/31/15,1451520000,1057
1/1/16,1451606400,885
1/2/16,1451692800,954
1/3/16,1451779200,955
1/4/16,1451865600,981
1/5/16,1451952000,1396
1/6/16,1452038400,1553
1/7/16,1452124800,1550
1/8/16,1452211200,1080
1/9/16,1452297600,1209
1/10/16,1452384000,1044
1/11/16,1452470400,1058
1/12/16,1452556800,1094
1/13/16,1452643200,1423
1/14/16,1452729600,1062
1/15/16,1452816000,1006
1/16/16,1452902400,967
1/17/16,1452988800,887
1/18/16,1453075200,1057
1/19/16,1453161600,1107
1/20/16,1453248000,959
1/21/16,1453334400,944
1/22/16,1453420800,1027
1/23/16,1453507200,906
1/24/16,1453593600,993
1/25/16,1453680000,1335
1/26/16,1453766400,1228
1/27/16,1453852800,1566
1/28/16,1453939200,1424
1/29/16,1454025600,1308
1/30/16,1454112000,1179
1/31/16,1454198400,1135
2/1/16,1454284800,1081
2/2/16,1454371200,1077
2/3/16,1454457600,1060
2/4/16,1454544000,1087
2/5/16,1454630400,1117
2/6/16,1454716800,1678
2/7/16,1454803200,1026
2/8/16,1454889600,1034
2/9/16,1454976000,1032
2/10/16,1455062400,1106
2/11/16,1455148800,1280
2/13/16,1455321600,1222
2/12/16,1455235200,1171
2/14/16,1455408000,1140
2/15/16,1455494400,1127
2/16/16,1455580800,1128
2/17/16,1455667200,1265
2/18/16,1455753600,1109
2/19/16,1455840000,1157
2/20/16,1455926400,1046
2/21/16,1456012800,1051
2/22/16,1456099200,1090
2/23/16,1456185600,1117
2/24/16,1456272000,1109
2/25/16,1456358400,1114
2/26/16,1456444800,1289
2/27/16,1456531200,1102
2/28/16,1456617600,1091
2/29/16,1456704000,1175
3/1/16,1456790400,1157
3/2/16,1456876800,1199
3/3/16,1456963200,1248
3/4/16,1457049600,1249
3/5/16,1457136000,1314
3/6/16,1457222400,1366
3/7/16,1457308800,1218
3/8/16,1457395200,1242
3/9/16,1457481600,1279
