Date,Day,Unix_Time_Stamp,Transactions,Address,Price,Price_Change,Supply,Hashrate,Block_Difficulty,Block_Size,Market_Cap
7/30/15,Thu,1438214400,8893,9205,0,0,72049306.59,23.7569,0.121,644,0
7/31/15,Fri,1438300800,0,9361,0,0,72085498.31,48.1584,0.603,582,0
8/1/15,Sat,1438387200,0,9476,0,0,72113204.25,55.2709,0.887,575,0
8/2/15,Sun,1438473600,0,9563,0,0,72141427.69,64.1779,1.02,581,0
8/3/15,Mon,1438560000,0,9639,0,0,72169404.41,69.8559,1.126,587,0
8/4/15,Tue,1438646400,0,9696,0,0,72197882.84,76.6115,1.217,587,0
8/5/15,Wed,1438732800,0,9749,0,0,72225411.44,81.9449,1.328,579,0
8/6/15,Thu,1438819200,0,9790,0,0,72252486.91,82.9366,1.381,584,0
8/7/15,Fri,1438905600,2050,10314,3,0,72279924.56,89.6063,1.471,633,216.8397737
8/8/15,Sat,1438992000,2881,10730,1.2,-0.6,72307868,97.6083,1.586,668,86.7694416
8/9/15,Sun,1439078400,1329,11004,1.2,0,72335046.28,102.5407,1.709,618,86.80205554
8/10/15,Mon,1439164800,2037,11679,0,-1,72362863.63,113.1109,1.838,631,0
8/11/15,Tue,1439251200,4963,13576,0.99,0,72390891.44,126.6631,2.036,692,71.66698252
8/12/15,Wed,1439337600,2036,13913,1.29,0.303030303,72418262.38,132.7661,2.207,653,93.41955846
8/13/15,Thu,1439424000,2842,14459,1.88,0.457364341,72446530.5,144.8995,2.337,666,136.1994773
8/14/15,Fri,1439510400,3174,15024,1.79,-0.04787234,72477637.22,183.5527,2.671,660,129.7349706
8/15/15,Sat,1439596800,2284,15407,1.79,0,72506149.88,213.9622,3.378,638,129.7860083
8/17/15,Mon,1439769600,2512,15693,1.3,-0.273743017,72534268.78,245.4865,3.908,635,94.29454942
8/16/15,Sun,1439683200,2440,15984,1.37,0.053846154,72561363.31,220.8548,3.632,641,99.40906774
8/18/15,Tue,1439856000,2494,16268,1.36,-0.00729927,72587526.13,253.7123,4.378,648,98.71903553
8/19/15,Wed,1439942400,3246,16553,1.24,-0.088235294,72614808.16,269.2527,4.42,653,90.04236211
8/20/15,Thu,1440028800,2303,16773,1.52,0.225806452,72635865.19,252.3917,4.469,650,110.4065151
8/21/15,Fri,1440115200,3919,17070,1.44,-0.052631579,72662556.13,263.4014,4.415,668,104.6340808
8/22/15,Sat,1440201600,3579,17313,1.4,-0.027777778,72690106.59,298.2545,4.828,648,101.7661492
8/23/15,Sun,1440288000,4190,17662,1.35,-0.035714286,72716362.22,303.082,5.138,681,98.167089
8/24/15,Mon,1440374400,4432,17839,1.24,-0.081481481,72743695.5,314.6624,5.179,673,90.20218242
8/25/15,Tue,1440460800,4487,18089,1.27,0.024193548,72770431.59,309.2154,5.173,680,92.41844812
8/26/15,Wed,1440547200,4156,18298,1.18,-0.070866142,72796569.56,327.8673,5.587,669,85.89995208
8/27/15,Thu,1440633600,5590,18508,1.14,-0.033898305,72821102.38,327.6196,5.925,708,83.01605671
8/28/15,Fri,1440720000,4758,18687,1.3,0.140350877,72845327.53,340.1254,6.251,691,94.69892579
8/29/15,Sat,1440806400,4139,18815,1.18,-0.092307692,72867852.53,339.3919,6.658,682,85.98406599
8/30/15,Sun,1440892800,4572,19017,1.32,0.118644068,72889306.13,332.4474,6.781,689,96.21388409
8/31/15,Mon,1440979200,5196,19168,1.31,-0.007575758,72910599.56,351.2291,7.214,731,95.51288543
9/1/15,Tue,1441065600,5153,19349,1.36,0.038167939,72930942.53,354.1181,7.641,741,99.18608184
9/2/15,Wed,1441152000,5195,19500,1.14,-0.161764706,72949329.88,349.6263,8.284,766,83.16223606
9/3/15,Thu,1441238400,4777,19646,1.23,0.078947368,72966710.81,331.5756,8.355,755,89.7490543
9/4/15,Fri,1441324800,5642,19791,1.35,0.097560976,72989792.69,340.3879,6.47,762,98.53622013
9/5/15,Sat,1441411200,5519,19955,1.37,0.014814815,73015421.75,361.5994,6.235,753,100.0311278
9/6/15,Sun,1441497600,5521,20081,1.34,-0.02189781,73041590.03,371.3126,6.305,733,97.87573064
9/7/15,Mon,1441584000,5702,20308,1.28,-0.044776119,73067050.5,360.9598,6.339,753,93.52582464
9/8/15,Tue,1441670400,5622,20433,1.26,-0.015625,73092943,352.7229,6.077,759,92.09710818
9/9/15,Wed,1441756800,5604,20609,1.21,-0.03968254,73119370.66,368.0392,6.202,765,88.47443849
9/10/15,Thu,1441843200,5341,20711,1.19,-0.016528926,73145814.88,371.1206,6.29,730,87.0435197
9/11/15,Fri,1441929600,6460,20897,0.92,-0.226890756,73173054.72,397.2576,6.562,736,67.31921034
9/12/15,Sat,1442016000,5596,21043,1.15,0.25,73199455.81,405.6008,6.833,761,84.17937418
9/13/15,Sun,1442102400,6057,21252,0.89,-0.226086957,73225627.22,412.3321,7.022,764,65.17080822
9/14/15,Mon,1442188800,5572,21409,0.96,0.078651685,73251215.34,380.4038,6.626,771,70.32116673
9/15/15,Tue,1442275200,5409,21581,0.95,-0.010416667,73276830.66,366.6357,6.419,755,69.61298912
9/16/15,Wed,1442361600,5872,21719,0.94,-0.010526316,73303148.78,362.0796,6.179,739,68.90495985
9/17/15,Thu,1442448000,5368,21826,0.88,-0.063829787,73328584.41,342.0493,6.04,753,64.52915428
9/18/15,Fri,1442534400,5802,21999,0.85,-0.034090909,73354486.13,326.1315,5.653,785,62.35131321
