Date(UTC),UnixTimeStamp,Value
7/30/15,1438214400,72049306.59
7/31/15,1438300800,72085498.31
8/1/15,1438387200,72113204.25
8/2/15,1438473600,72141427.69
8/3/15,1438560000,72169404.41
8/4/15,1438646400,72197882.84
8/5/15,1438732800,72225411.44
8/6/15,1438819200,72252486.91
8/7/15,1438905600,72279924.56
8/8/15,1438992000,72307868
8/9/15,1439078400,72335046.28
8/10/15,1439164800,72362863.63
8/11/15,1439251200,72390891.44
8/12/15,1439337600,72418262.38
8/13/15,1439424000,72446530.5
8/14/15,1439510400,72477637.22
8/15/15,1439596800,72506149.88
8/17/15,1439769600,72534268.78
8/16/15,1439683200,72561363.31
8/18/15,1439856000,72587526.13
8/19/15,1439942400,72614808.16
8/20/15,1440028800,72635865.19
8/21/15,1440115200,72662556.13
8/22/15,1440201600,72690106.59
8/23/15,1440288000,72716362.22
8/24/15,1440374400,72743695.5
8/25/15,1440460800,72770431.59
8/26/15,1440547200,72796569.56
8/27/15,1440633600,72821102.38
8/28/15,1440720000,72845327.53
8/29/15,1440806400,72867852.53
8/30/15,1440892800,72889306.13
8/31/15,1440979200,72910599.56
9/1/15,1441065600,72930942.53
9/2/15,1441152000,72949329.88
9/3/15,1441238400,72966710.81
9/4/15,1441324800,72989792.69
9/5/15,1441411200,73015421.75
9/6/15,1441497600,73041590.03
9/7/15,1441584000,73067050.5
9/8/15,1441670400,73092943
9/9/15,1441756800,73119370.66
9/10/15,1441843200,73145814.88
9/11/15,1441929600,73173054.72
9/12/15,1442016000,73199455.81
9/13/15,1442102400,73225627.22
9/14/15,1442188800,73251215.34
9/15/15,1442275200,73276830.66
9/16/15,1442361600,73303148.78
9/17/15,1442448000,73328584.41
9/18/15,1442534400,73354486.13
9/19/15,1442620800,73381665.81
9/20/15,1442707200,73409648.47
9/21/15,1442793600,73436300.34
9/22/15,1442880000,73462670.66
9/23/15,1442966400,73489750.97
9/24/15,1443052800,73516136.75
9/25/15,1443139200,73543140.19
9/26/15,1443225600,73569050.5
9/27/15,1443312000,73594061.59
9/28/15,1443398400,73618775.81
9/29/15,1443484800,73643144.25
9/30/15,1443571200,73668238
10/1/15,1443657600,73695660.03
10/2/15,1443744000,73722573.16
10/3/15,1443830400,73749026.91
10/4/15,1443916800,73774507.06
10/5/15,1444003200,73800643.94
10/6/15,1444089600,73825680.5
10/7/15,1444176000,73851814.09
10/8/15,1444262400,73878596.28
10/9/15,1444348800,73904043.94
10/10/15,1444435200,73929543.63
10/11/15,1444521600,73956054.41
10/12/15,1444608000,73982854.41
10/13/15,1444694400,74009522.69
10/14/15,1444780800,74035398.31
10/15/15,1444867200,74061008.78
10/16/15,1444953600,74086450.19
10/17/15,1445040000,74112900.81
10/18/15,1445126400,74138749.09
10/19/15,1445212800,74164715.81
10/20/15,1445299200,74190908.31
10/22/15,1445472000,74216239.09
10/21/15,1445385600,74242285.5
10/23/15,1445558400,74269844.09
10/24/15,1445644800,74296959.09
10/25/15,1445731200,74323773.31
10/26/15,1445817600,74349688.63
10/27/15,1445904000,74377214.88
10/28/15,1445990400,74403563.31
10/29/15,1446076800,74431070.34
10/30/15,1446163200,74458794.25
10/31/15,1446249600,74486542.06
11/1/15,1446336000,74514722.22
11/2/15,1446422400,74541856.44
11/3/15,1446508800,74569462.22
11/4/15,1446595200,74597178.63
11/5/15,1446681600,74624470.03
11/6/15,1446768000,74651892.22
11/7/15,1446854400,74678607.53
11/8/15,1446940800,74705896.59
11/9/15,1447027200,74732956.13
11/10/15,1447113600,74760400.19
11/11/15,1447200000,74788226.75
11/12/15,1447286400,74816251.28
11/13/15,1447372800,74844436.44
11/14/15,1447459200,74872794.09
11/15/15,1447545600,74900914.25
11/16/15,1447632000,74928309.41
11/17/15,1447718400,74956103
11/18/15,1447804800,74983355.03
11/19/15,1447891200,75009918.47
11/20/15,1447977600,75035048.94
11/21/15,1448064000,75061831.13
11/22/15,1448150400,75088819.72
11/23/15,1448236800,75116092.06
11/24/15,1448323200,75142940.19
11/25/15,1448409600,75169412.06
11/26/15,1448496000,75195950.5
11/27/15,1448582400,75223837.38
11/28/15,1448668800,75251045.34
11/29/15,1448755200,75278393.16
11/30/15,1448841600,75305749.41
12/1/15,1448928000,75333292.22
12/3/15,1449100800,75361355.5
12/2/15,1449014400,75387362.53
12/4/15,1449187200,75414041.91
12/5/15,1449273600,75440623.78
12/6/15,1449360000,75466879.56
12/7/15,1449446400,75493598.47
12/8/15,1449532800,75519910.97
12/9/15,1449619200,75548235.03
12/10/15,1449705600,75575712.38
12/11/15,1449792000,75602735.19
12/12/15,1449878400,75629941.75
12/13/15,1449964800,75657849.09
12/14/15,1450051200,75684557.69
12/15/15,1450137600,75711572.22
12/16/15,1450224000,75738029.56
12/17/15,1450310400,75764912.69
12/18/15,1450396800,75791584.25
12/19/15,1450483200,75818278.78
12/20/15,1450569600,75844714.88
12/21/15,1450656000,75871172.69
12/22/15,1450742400,75898547.06
12/23/15,1450828800,75925946.44
12/24/15,1450915200,75952633
12/25/15,1451001600,75979436.59
12/26/15,1451088000,76005996.75
12/27/15,1451174400,76032850.5
12/28/15,1451260800,76059908.47
12/29/15,1451347200,76086569.56
12/30/15,1451433600,76113305.81
12/31/15,1451520000,76140217.84
1/1/16,1451606400,76166284.41
1/2/16,1451692800,76193668.31
1/3/16,1451779200,76221344.09
1/4/16,1451865600,76248764.72
1/5/16,1451952000,76276603.94
1/6/16,1452038400,76304229.41
1/7/16,1452124800,76331251.59
1/8/16,1452211200,76359248.31
1/9/16,1452297600,76386844.09
1/10/16,1452384000,76414132.06
1/11/16,1452470400,76441137.22
1/12/16,1452556800,76467038
1/13/16,1452643200,76493573.31
1/14/16,1452729600,76520492.53
1/15/16,1452816000,76547289.88
1/16/16,1452902400,76573813
1/17/16,1452988800,76600412.84
1/18/16,1453075200,76627033
1/19/16,1453161600,76653125.81
1/20/16,1453248000,76679668.31
1/21/16,1453334400,76705587.53
1/22/16,1453420800,76731842.53
1/23/16,1453507200,76757612.22
1/24/16,1453593600,76784855.19
1/25/16,1453680000,76810552.22
1/26/16,1453766400,76837541.44
1/27/16,1453852800,76863642.22
1/28/16,1453939200,76890206.91
1/29/16,1454025600,76916367.38
1/30/16,1454112000,76942560.5
1/31/16,1454198400,76968242.38
2/1/16,1454284800,76994673.63
2/2/16,1454371200,77020542.06
2/3/16,1454457600,77047840.03
2/4/16,1454544000,77074402.38
2/5/16,1454630400,77100960.97
2/6/16,1454716800,77127306.75
2/7/16,1454803200,77153991.44
2/8/16,1454889600,77180646.44
2/9/16,1454976000,77207117.53
2/10/16,1455062400,77233278.78
2/11/16,1455148800,77259756.59
2/13/16,1455321600,77286638.16
2/12/16,1455235200,77313140.19
2/14/16,1455408000,77339469.25
2/15/16,1455494400,77365694.56
2/16/16,1455580800,77392140.34
2/17/16,1455667200,77417812.38
2/18/16,1455753600,77444027.22
2/19/16,1455840000,77470682.69
2/20/16,1455926400,77497243.47
2/21/16,1456012800,77523780.03
2/22/16,1456099200,77550537.84
2/23/16,1456185600,77576707.84
2/24/16,1456272000,77603134.72
2/25/16,1456358400,77629958.47
2/26/16,1456444800,77656612.53
2/27/16,1456531200,77682812.38
2/28/16,1456617600,77709234.41
2/29/16,1456704000,77734463.94
3/1/16,1456790400,77760945.03
3/2/16,1456876800,77787589.25
3/3/16,1456963200,77813700.5
3/4/16,1457049600,77839585.81
3/5/16,1457136000,77866168
3/6/16,1457222400,77891567.69
3/7/16,1457308800,77917553.16
3/8/16,1457395200,77943376.28
3/9/16,1457481600,77969119.56
3/10/16,1457568000,77995747.06
3/11/16,1457654400,78022049.56
3/12/16,1457740800,78048419.72
3/13/16,1457827200,78075670.19
3/14/16,1457913600,78102078.16
3/15/16,1458000000,78133301.75
3/16/16,1458086400,78164791.91
3/17/16,1458172800,78196816.44
3/18/16,1458259200,78228103.63
3/19/16,1458345600,78260182.06
3/20/16,1458432000,78291777.22
3/21/16,1458518400,78323160.19
3/22/16,1458604800,78354872.06
3/23/16,1458691200,78386166.13
3/24/16,1458777600,78418237.22
3/25/16,1458864000,78450127.06
3/26/16,1458950400,78482062.38
3/27/16,1459036800,78513693.16
3/28/16,1459123200,78544999.72
3/29/16,1459209600,78576437.53
3/30/16,1459296000,78608138
3/31/16,1459382400,78639526.91
4/1/16,1459468800,78671411.59
4/2/16,1459555200,78702492.84
4/3/16,1459641600,78734222.53
4/4/16,1459728000,78766175.66
4/5/16,1459814400,78797750.5
4/6/16,1459900800,78829013.16
4/7/16,1459987200,78860180.5
4/8/16,1460073600,78892094.88
4/9/16,1460160000,78923008.47
4/10/16,1460246400,78954790.19
4/11/16,1460332800,78985756.75
4/12/16,1460419200,79017139.56
4/13/16,1460505600,79048625.66
4/14/16,1460592000,79080026.75
4/15/16,1460678400,79111760.19
4/16/16,1460764800,79143291.44
4/17/16,1460851200,79174794.56
4/18/16,1460937600,79206654.09
4/19/16,1461024000,79237980.66
4/20/16,1461110400,79269812.06
4/21/16,1461196800,79301185.97
4/22/16,1461283200,79332762.69
4/23/16,1461369600,79364456.28
4/24/16,1461456000,79395951.28
4/25/16,1461542400,79428088.31
4/26/16,1461628800,79459376.13
4/27/16,1461715200,79491251.13
4/28/16,1461801600,79522933.63
4/29/16,1461888000,79554617.22
4/30/16,1461974400,79586508.94
5/1/16,1462060800,79617521.75
5/2/16,1462147200,79649433.31
5/3/16,1462233600,79681224.56
5/4/16,1462320000,79712683.31
5/5/16,1462406400,79744463.31
5/6/16,1462492800,79776200.97
5/7/16,1462579200,79807774.09
5/8/16,1462665600,79839623.31
5/9/16,1462752000,79871424.72
5/10/16,1462838400,79903125.66
5/11/16,1462924800,79934378.78
5/12/16,1463011200,79966635.81
5/13/16,1463097600,79998832.53
5/14/16,1463184000,80030500.34
5/15/16,1463270400,80062308.94
5/16/16,1463356800,80093820.5
5/17/16,1463443200,80126012.69
5/18/16,1463529600,80158417.06
5/19/16,1463616000,80190320.66
5/20/16,1463702400,80222410.34
5/21/16,1463788800,80254249.88
5/22/16,1463875200,80286506.13
5/23/16,1463961600,80318586.75
5/24/16,1464048000,80350590.03
5/25/16,1464134400,80382947.06
5/26/16,1464220800,80414991.44
5/28/16,1464393600,80447310.03
5/27/16,1464307200,80479631.75
5/29/16,1464480000,80511604.09
5/30/16,1464566400,80543608.16
5/31/16,1464652800,80575141.13
6/1/16,1464739200,80607285.34
6/2/16,1464825600,80639467.53
6/3/16,1464912000,80671739.72
6/4/16,1464998400,80703881.28
6/5/16,1465084800,80735464.41
6/6/16,1465171200,80767836.28
6/7/16,1465257600,80799782.22
6/8/16,1465344000,80832085.19
6/9/16,1465430400,80864311.13
6/10/16,1465516800,80895475.34
6/11/16,1465603200,80927850.81
6/12/16,1465689600,80960067.69
6/13/16,1465776000,80992291.91
6/14/16,1465862400,81024437.38
6/15/16,1465948800,81056304.41
6/16/16,1466035200,81088182.06
6/17/16,1466121600,81121598.47
6/18/16,1466208000,81155985.66
